CODGEO,LIBCOM,cadres,ouvriers,total
01249,Miribel,948.598486590643,544.399246841701,1492.997733432344
01250,Misérieux,124.268542187964,109.261171851425,233.529714039389
01252,Mogneneins,35.7624479509029,35.7624479512383,71.5248959021412
01254,Montagnat,163.684258970754,79.2783497924391,242.9626087631931
01255,Montagnieu,10.1421197641461,97.8565490452335,107.99866880937961
01257,Montanges,10.048468327434,30.1573773554247,40.2058456828587
01258,Montceaux,85.5693942390657,64.4282640306058,149.9976582696715
01259,Montcet,25.2640736471658,64.1959029452517,89.4599765924175
01260,Le Montellier,15.9049859523496,15.8201767242828,31.7251626766324
01261,Monthieux,25.7450729376568,26.6473584270488,52.3924313647056
01262,Montluel,395.60333907469,594.803444814231,990.406783888921
01263,Montmerle-sur-Saône,255.395490054385,201.903180670918,457.298670725303
01264,Montracol,23.8319899541991,102.727557226982,126.5595471811811
01265,Montréal-la-Cluse,88.2619698810181,345.468965877729,433.7309357587471
01266,Montrevel-en-Bresse,45.4074227731492,132.516244454888,177.9236672280372
01267,Nurieux-Volognat,40.440846296191,70.6700782041677,111.11092450035869
01268,Murs-et-Gélignieux,9.58684609524933,24.5365123101028,34.12335840535213
01269,Nantua,90.96045151138,414.72302405469,505.68347556607
01272,Neuville-les-Dames,34.2598918115028,111.751343538971,146.01123535047378
01273,Neuville-sur-Ain,75.7526686944796,175.629600168039,251.38226886251857
01274,Les Neyrolles,24.5839474184227,107.867697672033,132.4516450904557
01275,Neyron,245.789757950096,104.064952107582,349.854710057678
01276,Niévroz,135.556877654265,53.4772020530124,189.0340797072774
01277,Nivollet-Montgriffon,9.66386554621849,4.83193277310924,14.49579831932773
01280,Ordonnaz,0.0,9.33774834437086,9.33774834437086
01281,Ornex,474.789932185655,221.287260754363,696.077192940018
01282,Outriaz,35.4193876969597,14.6085412841746,50.0279289811343
01283,Oyonnax,493.40928621797,2719.62378006632,3213.03306628429
01284,Ozan,25.6664284881986,73.6031415337245,99.2695700219231
01285,Parcieux,174.849645835813,33.5818098281675,208.4314556639805
01286,Parves et Nattages,69.186886575336,44.5620918615219,113.7489784368579
01288,Péron,342.798187629559,146.713754561359,489.511942190918
01289,Péronnas,326.191978936438,340.981033399744,667.173012336182
01290,Pérouges,121.315964943011,68.1856565286935,189.50162147170448
01291,Perrex,20.0641831922465,75.7752291637761,95.8394123560226
01293,Peyriat,0.0,4.83660130718954,4.83660130718954
01294,Peyrieu,48.9101498828197,99.1405572391101,148.0507071219298
01295,Peyzieux-sur-Saône,25.3759452257478,40.7103916749867,66.0863369007345
01296,Pirajoux,20.4593154859676,50.6766914288116,71.1360069147792
01297,Pizay,47.4626875144672,26.3726656157068,73.835353130174
01298,Plagne,10.7333333333333,10.7333333333333,21.4666666666666
01299,Le Plantay,42.1522548264563,25.7289321807466,67.8811870072029
01301,Polliat,118.409062331689,174.077648778662,292.486711110351
01302,Pollieu,10.1818181818182,10.1818181818182,20.3636363636364
01303,Poncin,82.3406459764365,161.560585589742,243.90123156617852
01304,Pont-d'Ain,153.495979556259,296.84955747137,450.345537027629
01305,Pont-de-Vaux,53.8219305744032,213.064153805744,266.8860843801472
01306,Pont-de-Veyle,34.9570368596687,164.982969428302,199.9400062879707
01307,Port,45.3671865031088,95.8273363833644,141.19452288647318
01308,Pougny,44.1961004927324,55.3990959426514,99.5951964353838
01309,Pouillat,0.0,10.5194805194805,10.5194805194805
01310,Prémeyzel,5.05295403228772,5.05295403228772,10.10590806457544
01313,Prévessin-Moëns,1226.10492214786,380.314206332534,1606.419128480394
01314,Priay,109.890967336478,76.7321904813452,186.6231578178232
01317,Ramasse,10.0693177011484,45.1621557596591,55.2314734608075
01318,Rancé,35.3312157106238,30.9399232773636,66.2711389879874
01319,Relevant,29.8705014586473,30.1844291211367,60.054930579784
01320,Replonges,177.926194516393,249.246410964264,427.172605480657
01321,Revonnas,70.1034152757112,59.969557475321,130.07297275103218
01322,Reyrieux,460.077763382941,207.171381530354,667.249144913295
01323,Reyssouze,35.5634872627189,71.7897685014443,107.35325576416321
01325,Rignieux-le-Franc,82.5013582316861,82.3603121535361,164.8616703852222
01328,Romans,33.0933593892358,29.4259390442726,62.519298433508396
01329,Rossillon,9.75609756097561,14.6341463414634,24.39024390243901
01330,Ruffieu,4.91666666666667,4.91666666666667,9.83333333333334
01331,Saint-Alban,35.0,10.0,45.0
01332,Saint-André-de-Bâgé,26.6207226362733,69.0832734134801,95.7039960497534
01333,Saint-André-de-Corcy,218.346565485965,152.013368737959,370.35993422392403
01334,Saint-André-d'Huiriat,34.3441011320951,58.8567074188759,93.200808550971
01335,Saint-André-le-Bouchoux,15.6134853906011,20.3112313432637,35.9247167338648
01336,Saint-André-sur-Vieux-Jonc,40.7534427232272,106.865184129706,147.6186268529332
